time,symbol,side,lots,price,pnl,cost
2026-07-09 13:55:00,RB_IDX,OPEN_SHORT,6.0,3086.0,,
2026-07-10 09:40:00,LC_IDX,STOP_LOSS_LONG,,,-1720.0,62.113600000000005
2026-07-10 23:15:00,ZN_IDX,STOP_LOSS_SHORT,,,-1275.0,28.74625
2026-07-15 10:00:00,AL_IDX,STOP_LOSS_SHORT,,,-1175.0,28.50175
2026-07-15 10:45:00,RU_IDX,STOP_LOSS_SHORT,,,-2750.0,63.932
2026-07-16 21:40:00,RB_IDX,STOP_LOSS_SHORT,,,-1920.0,78.708
2026-07-24 11:10:00,Y_IDX,OPEN_LONG,2.0,8577.0,,
2026-07-24 11:10:00,JM_IDX,OPEN_LONG,2.0,1282.5,,
2026-07-24 11:10:00,TA_IDX,OPEN_LONG,7.0,5968.0,,
2026-07-24 11:10:00,RU_IDX,OPEN_LONG,1.0,16775.0,,
2026-07-24 11:10:00,J_IDX,OPEN_SHORT,1.0,1842.0,,
2026-07-24 11:10:00,SI_IDX,OPEN_SHORT,5.0,8290.0,,
2026-07-24 21:10:00,TA_IDX,STOP_LOSS_LONG,,,-4130.0,82.285
2026-07-24 22:55:00,Y_IDX,CLOSE_LONG,,,520.0,48.603
2026-07-24 22:55:00,SI_IDX,CLOSE_SHORT,,,207250.0,125.0
2026-07-24 22:55:00,SR_IDX,OPEN_LONG,4.0,5155.0,,
2026-07-24 22:55:00,I_IDX,OPEN_SHORT,3.0,744.0,,
2026-07-24 22:55:00,RB_IDX,OPEN_SHORT,7.0,3085.0,,
2026-07-24 22:55:00,M_IDX,OPEN_SHORT,7.0,3208.0,,
2026-07-25 09:10:00,J_IDX,STOP_LOSS_SHORT,,,-2050.0,77.9375
2026-07-27 09:10:00,JM_IDX,STOP_LOSS_LONG,,,-1980.0,82.788
2026-07-28 10:40:00,RU_IDX,CLOSE_LONG,,,-500.0,63.38
2026-07-28 10:40:00,SR_IDX,CLOSE_LONG,,,-240.0,50.298
2026-07-28 10:40:00,RB_IDX,CLOSE_SHORT,,,1820.0,91.413
2026-07-28 10:40:00,M_IDX,CLOSE_SHORT,,,6440.0,80.906
2026-07-28 10:40:00,SA_IDX,OPEN_LONG,12.0,975.0,,
2026-07-28 10:40:00,FG_IDX,OPEN_LONG,13.0,889.0,,
2026-07-28 10:40:00,Y_IDX,OPEN_LONG,2.0,8405.0,,
2026-07-28 10:40:00,TA_IDX,OPEN_SHORT,8.0,5640.0,,
2026-07-28 10:40:00,RU_IDX,OPEN_SHORT,1.0,16725.0,,
2026-07-28 22:25:00,SA_IDX,CLOSE_LONG,,,-1200.0,263.28
2026-07-28 22:25:00,FG_IDX,CLOSE_LONG,,,-1040.0,283.01
2026-07-28 22:25:00,Y_IDX,CLOSE_LONG,,,400.0,48.425
2026-07-28 22:25:00,TA_IDX,CLOSE_SHORT,,,400.0,93.512
2026-07-28 22:25:00,RU_IDX,CLOSE_SHORT,,,3500.0,63.1
2026-07-28 22:25:00,RU_IDX,OPEN_LONG,1.0,16375.0,,
2026-07-28 22:25:00,J_IDX,OPEN_LONG,1.0,1823.0,,
2026-07-28 22:25:00,JM_IDX,OPEN_LONG,3.0,1240.5,,
2026-07-28 22:25:00,HC_IDX,OPEN_SHORT,7.0,3283.0,,
2026-07-29 10:10:00,RU_IDX,CLOSE_LONG,,,250.0,63.120000000000005
2026-07-29 10:10:00,J_IDX,CLOSE_LONG,,,2300.0,77.69
2026-07-29 10:10:00,JM_IDX,CLOSE_LONG,,,2250.0,123.83099999999999
2026-07-29 10:10:00,HC_IDX,CLOSE_SHORT,,,-910.0,93.072
2026-07-29 10:10:00,AG_IDX,OPEN_LONG,1.0,14093.0,,
2026-07-29 10:10:00,TA_IDX,OPEN_LONG,8.0,5722.0,,
2026-07-29 10:10:00,CF_IDX,OPEN_SHORT,2.0,15860.0,,
2026-07-29 10:10:00,Y_IDX,OPEN_SHORT,2.0,8424.0,,
